date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:21:46	24800/24800	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2018:21:45%20GMT	https://ferret.pmel.noaa.gov/LAS/sitemap	/Users/osborne/Projects/LAS_docs/ferret.pmel.noaa.gov/LAS/sitemap.html	(from https://ferret.pmel.noaa.gov/LAS/)
11:21:46	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2015%20Jun%202023%2018:21:46%20GMT	https://ferret.pmel.noaa.gov/LAS/node/1131	/Users/osborne/Projects/LAS_docs/ferret.pmel.noaa.gov/LAS/node/1131.12.delayed	(from https://ferret.pmel.noaa.gov/LAS/documentation)
11:21:48	71802/71802	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2018:21:47%20GMT	https://ferret.pmel.noaa.gov/LAS/documentation/release-notes-for-las-v8.6	/Users/osborne/Projects/LAS_docs/ferret.pmel.noaa.gov/LAS/documentation/release-notes-for-las-v8.html	(from https://ferret.pmel.noaa.gov/LAS/documentation)
11:21:49	72763/72763	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2018:21:48%20GMT	https://ferret.pmel.noaa.gov/LAS/documentation/typographical-conventions	/Users/osborne/Projects/LAS_docs/ferret.pmel.noaa.gov/LAS/documentation/typographical-conventions.html	(from https://ferret.pmel.noaa.gov/LAS/documentation)
11:21:50	72551/72551	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2018:21:49%20GMT	https://ferret.pmel.noaa.gov/LAS/documentation/introduction	/Users/osborne/Projects/LAS_docs/ferret.pmel.noaa.gov/LAS/documentation/introduction.html	(from https://ferret.pmel.noaa.gov/LAS/documentation)
11:21:51	74734/74734	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2018:21:50%20GMT	https://ferret.pmel.noaa.gov/LAS/documentation/introduction/the-las-architecture	/Users/osborne/Projects/LAS_docs/ferret.pmel.noaa.gov/LAS/documentation/introduction/the-las-architecture.html	(from https://ferret.pmel.noaa.gov/LAS/documentation)
11:21:52	77066/77066	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2018:21:51%20GMT	https://ferret.pmel.noaa.gov/LAS/documentation/introduction/using-the-las-user-interface	/Users/osborne/Projects/LAS_docs/ferret.pmel.noaa.gov/LAS/documentation/introduction/using-the-las-user-interface.html	(from https://ferret.pmel.noaa.gov/LAS/documentation)
11:21:53	74245/74245	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2018:21:52%20GMT	https://ferret.pmel.noaa.gov/LAS/documentation/introduction/las-v7-video-tutorials	/Users/osborne/Projects/LAS_docs/ferret.pmel.noaa.gov/LAS/documentation/introduction/las-v7-video-tutorials.html	(from https://ferret.pmel.noaa.gov/LAS/documentation)
11:21:54	76352/76352	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2018:21:53%20GMT	https://ferret.pmel.noaa.gov/LAS/documentation/release-notes-for-previous-versions-1	/Users/osborne/Projects/LAS_docs/ferret.pmel.noaa.gov/LAS/documentation/release-notes-for-previous-versions-1.html	(from https://ferret.pmel.noaa.gov/LAS/documentation)
11:21:55	72318/72318	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2018:21:54%20GMT	https://ferret.pmel.noaa.gov/LAS/documentation/release-notes-for-las-v8.5	/Users/osborne/Projects/LAS_docs/ferret.pmel.noaa.gov/LAS/documentation/release-notes-for-las-v8-2.html	(from https://ferret.pmel.noaa.gov/LAS/documentation)
11:21:56	73186/73186	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2018:21:55%20GMT	https://ferret.pmel.noaa.gov/LAS/documentation/release-notes-for-previous-versions-1/release-notes-for-las-v8.4	/Users/osborne/Projects/LAS_docs/ferret.pmel.noaa.gov/LAS/documentation/release-notes-for-previous-versions-1/release-notes-for-las-v8.html	(from https://ferret.pmel.noaa.gov/LAS/documentation)
11:21:57	77734/77734	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2018:21:56%20GMT	https://ferret.pmel.noaa.gov/LAS/documentation/release-notes-for-previous-versions-1/release-notes-for-las-8.2	/Users/osborne/Projects/LAS_docs/ferret.pmel.noaa.gov/LAS/documentation/release-notes-for-previous-versions-1/release-notes-for-las-8.html	(from https://ferret.pmel.noaa.gov/LAS/documentation)
